"Time Window","SYN Rate","SYN Percentage","Port Spread","ACK Response Rate","Source Diversity","Scan Intensity","Risk Assessment","Scan Archetype","Suggested Action","Explanation"
"very-short","very low","minimal","one","no response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","one","minimal response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","one","partial response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","one","widespread response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","one","broad response","centralized","None","none","classic","Monitor only","Low scanning activity; single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","one","complete response","centralized","None","none","likely benign","Monitor only","Low scanning activity; single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","minimal","a few","no response","centralized","Low","low","classic","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","a few","no response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","minimal","a few","minimal response","centralized","Low","low","classic","Monitor only","single/few sources; minimal ACK responses; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","a few","minimal response","moderately distributed","Low","low","ambiguous","Monitor only","minimal ACK responses; over very-short timeframe"
"very-short","very low","minimal","a few","partial response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","a few","partial response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","minimal","a few","widespread response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","a few","widespread response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","minimal","a few","broad response","centralized","Low","low","classic","Monitor only","single/few sources; over very-short timeframe; = classic scan pattern"
"very-short","very low","minimal","a few","broad response","moderately distributed","Low","low","ambiguous","Monitor only","over very-short timeframe"
"very-short","very low","minimal","a few","complete response","centralized","Low","none","likely benign","Monitor only","single/few sources; complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
"very-short","very low","minimal","a few","complete response","moderately distributed","Low","none","likely benign","Monitor only","complete ACK responses (likely benign); over very-short timeframe; = likely legitimate traffic"
